raw,category,term,var1
noble			11,11,noble,True
worth*			11,11,worth*,True
ideal*			11,11,ideal*,True
praiseworthy		11,11,praiseworthy,True
commendable		11,11,commendable,True
character		11,11,character,True
proper			11,11,proper,True
laudable		11,11,laudable,True
correct			11,11,correct,True
wrong*			11,11,wrong*,False
evil			11,11,evil,False
immoral*		11,11,immoral*,False
bad			11,11,bad,False
offend*			11 ,11,offend*,False
offensive*		11,11,offensive*,False
transgress*		11,11,transgress*,False
